author_id,first_name,last_name,birth_date,nationality,biography
1,Leo,Tolstoy,1828-09-09,Russian,Russian novelist best known for War And Peace and Anna Karenina.
2,F. Scott,Fitzgerald,1896-09-24,American,American novelist and short story writer known for The Great Gatsby.
3,Jared,Diamond,1937-09-10,American,Historian and author known for Guns Germs And Steel.
4,Peter,Frankopan,1971-03-22,British,Historian and author of The Silk Roads.
5,Friedrich,Nietzsche,1844-10-15,German,Philosopher known for Beyond Good And Evil and Thus Spoke Zarathustra.
6,Marcus,Aurelius,0121-04-26,Roman,Roman emperor and Stoic philosopher known for Meditations.
7,Krishna,Dvaipayana,0001-01-01,Indian,Sage traditionally credited with compiling The Bhagavad Gita.
8,Moses,Prophet,0001-01-01,Hebrew,Traditionally regarded as the author of the Torah and foundational texts of The Bible.
9,Muhammad,Prophet,0570-01-01,Arab,Prophet of Islam to whom the Quran was revealed.
10,Brian,Greene,1963-02-09,American,Theoretical physicist and author of The Elegant Universe.
11,Richard,Feynman,1918-05-11,American,Physicist known for The Feynman Lectures On Physics.
12,Sam,Kean,1979-01-01,American,Science writer known for The Disappearing Spoon.
13,Paula,Bruice,1946-01-01,American,Chemist and author of Organic Chemistry textbook.
14,Charles,Darwin,1809-02-12,British,Naturalist known for The Origin Of Species.
15,Siddhartha,Mukherjee,1970-07-21,Indian-American,Physician and author of The Gene.
16,George,Polya,1887-12-13,Hungarian,Mathematician known for How To Solve It.
17,G. H.,Hardy,1877-02-07,British,Mathematician known for A Mathematicians Apology.
18,Simon,Winchester,1944-09-28,British,Author and journalist known for The Map That Changed The World.
19,John,McPhee,1931-03-08,American,Author known for Annals Of The Former World.
20,Frederick,Lutgens,1930-01-01,American,Geologist and co-author of Earth An Introduction To Physical Geology.
21,Karl,Marx,1818-05-05,German,Philosopher and economist known for The Communist Manifesto.
22,Tom,Bingham,1933-10-15,British,Jurist and author of The Rule Of Law.
23,H. L. A.,Hart,1907-07-18,British,Legal philosopher known for The Concept Of Law.
24,Adam,Smith,1723-06-16,Scottish,Economist and author of The Wealth Of Nations.
25,Thomas,Piketty,1971-05-07,French,Economist known for Capital In The Twenty First Century.
26,Stephen,Ross,1944-02-03,American,Finance scholar and co-author of Corporate Finance.
27,Andreu,Mas-Colell,1944-01-01,Spanish,Economist known for Microeconomic Theory.
28,I. M.,Pandey,1945-01-01,Indian,Finance academic and author of Financial Management.
29,Harold,Koontz,1909-01-01,American,Management theorist and author of Management Principles.
30,Ferdinand,Beer,1915-01-01,American,Engineer and co-author of Engineering Mechanics.
31,Yunus,Cengel,1954-01-01,Turkish-American,Mechanical engineer known for Thermodynamics textbooks.
32,Serope,Kalpakjian,1932-01-01,American,Author of Manufacturing Engineering And Technology.
33,Andrew,Hunt,1964-01-01,American,Software developer and co-author of The Pragmatic Programmer.
34,Katsuhiko,Ogata,1925-01-01,Japanese-American,Engineer known for Modern Control Engineering.
35,David,Patterson,1947-11-16,American,Computer scientist and co-author of Computer Organization And Design.
36,Haakon,Fossen,1951-01-01,Norwegian,Geologist and author of Structural Geology.
37,Peter,Atkins,1940-08-10,British,Chemist and author of Physical Chemistry.
38,Erwin,Kreyszig,1922-01-01,German-Canadian,Mathematician known for Advanced Engineering Mathematics.
39,Mark,Srednicki,1950-01-01,American,Physicist known for Quantum Field Theory.

