library_id,name,campus_location,contact_email,phone_number
1,Central Library,North Campus,contact@centrallibrary.org,+11234567890
2,Central Library,North Campus,info@centrallibrary.org,+11234567890
4,East Side Branch,East Campus,eastside@library.org,+12223334444
5,North Branch,North Campus,northbranch@gmail.com,+12223334444
7,Downtown Hub,City Campus,downtown@hub.org,+919876543210
8,Community Library,Community Campus,community@library.org,+14445556666
9,City Library,Main Campus,citylibrary@gmail.com,+15556667777
11,Uptown Library,Uptown Campus,uptown@library.org,+16667778888
12,Suburban Library,Suburb Campus,suburban@library.org,+441234567890
14,Metro Library,Metro Campus,metro@library.org,+18889990000
15,Research Library,Research Campus,research@library.org,+19991112222
